longitude|latitude|start_date|end_date|source|horizon_lower|horizon_upper|aluminium_extractable|boron_extractable|calcium_extractable|carbon_organic|carbon_total|copper_extractable|electrical_conductivity|iron_extractable|magnesium_extractable|manganese_extractable|nitrogen_total|ph|phosphorus_extractable|potassium_extractable|sodium_extractable|sulphur_extractable|zinc_extractable
35.18756|-8.6239|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1109.856||1535.388|30.66|31.5|2.259||92.366|200.601|107.257|2.24|5.942||283.103|||
35.18558|-8.623|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1168.364||751.408|21.15|19.36|1.822||115.923|197.771|90.005|1.57|5.722||215.459|||
35.18579|-8.62221|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1137.113||468.391|15.64|13.95|1.913||78.709|188.114|120.433|1.02|5.51||398.656|||
35.18266|-8.62177|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1117.349||739.698|15.63|12.32|2.876||127.527|156.417|112.036|1.12|5.817||267.354|||
35.12984|-8.62005|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1219.203||240.071|18.49|17.34|1.825||77.542|114.809|57.906|1.19|4.98||229.682|||
35.13662|-8.6184|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1373.702||85.475|13.48|13.53|1.368||69.691|111.395|29.813|0.91|5.269||97.396|||
35.12916|-8.61818|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1059.648||391.811|12.15|11.61|2.046||70.702|136.848|116.97|0.91|5.607||220.53|||
35.12888|-8.61796|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|992.572||696.77|10.82|10.45|2.331||77.289|150.465|103.81|1.0|5.924||358.824|||
35.18277|-8.61593|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1262.413||282.791|14.33|15.53|1.016||61.928|92.838|29.316|0.83|5.226||105.643|||
35.13098|-8.61547|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1120.07||684.126|12.56|11.24|2.461||113.017|176.238|130.079|1.04|5.726||239.205|||
